6 Batain 6 Amal.mp3, 6 Batain 6 Amal.mp3, 27225, 116 mins 08 secs
Qatiloon_Ka_Anjaam_Faisalabad_26-10-2007.mp3, Qatiloon_Ka_Anjaam_Faisalabad_26-10-2007.mp3, 14254, 30 mins 24 secs
Qaumiyat_Se_Bacho_Aisha_Masjid_Faisalabad_01-05-2009.mp3, Qaumiyat_Se_Bacho_Aisha_Masjid_Faisalabad_01-05-2009.mp3, 13167, 75 mins 03 secs
Qayamat_Qareeb_Aa_Chuki_Tandoadam_30-12-2010.mp3, Qayamat_Qareeb_Aa_Chuki_Tandoadam_30-12-2010.mp3, 15084, 85 mins 59 secs
Quraan_Zabta_E_Hayaat_Faisalabad_19-12-2005.mp3, Quraan_Zabta_E_Hayaat_Faisalabad_19-12-2005.mp3, 64186, 68 mins 27 secs
Raiwand_Ijtima_05-11-2000.mp3, Raiwand_Ijtima_05-11-2000.mp3, 13648, 77 mins 47 secs
Sach_Aur_Jhoot_Ka_Bazaar_Sajaawal_20-12-2010.mp3, Sach_Aur_Jhoot_Ka_Bazaar_Sajaawal_20-12-2010.mp3, 45014, 224 mins 18 secs
Sache_Ashiq_Kon_Larkana_09-01-2011.mp3, Sache_Ashiq_Kon_Larkana_09-01-2011.mp3, 13382, 76 mins 16 secs
Shadi_Ka_Masnoon_Tariq_03-03-2006.mp3, Shadi_Ka_Masnoon_Tariq_03-03-2006.mp3, 77994, 83 mins 11 secs
Slough_UK_16-07-2011.mp3, Slough_UK_16-07-2011.mp3, 16309, 92 mins 58 secs
Stockholm_Sweden_24-07-2010.mp3, Stockholm_Sweden_24-07-2010.mp3, 20369, 116 mins 06 secs
Sunnat_Rasool_PBUH_Gustakh_Rasool_PBUH_Nawabshah_Markaz_02-01-2011.mp3, Sunnat_Rasool_PBUH_Gustakh_Rasool_PBUH_Nawabshah_Markaz_02-01-2011.mp3, 13425, 76 mins 31 secs
Tando_Allahyar_29-12-2010.mp3, Tando_Allahyar_29-12-2010.mp3, 15471, 88 mins 11 secs
Tulba_Say_Khattab_Ismaeel_Markaz_Faisalabad_30-05-2010.mp3, Tulba_Say_Khattab_Ismaeel_Markaz_Faisalabad_30-05-2010.mp3, 14322, 81 mins 38 secs
Waziraila_House_Karachi_27-01-2006.mp3, Waziraila_House_Karachi_27-01-2006.mp3, 52808, 56 mins 19 secs
